City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
205,Anna Paulowna,52.862,4.834,52.95,80,100,25.99,NL,2022-02-14 01:40:40
206,Fort Nelson,58.8053,-122.7002,6.39,72,40,3.44,CA,2022-02-14 01:39:08
207,Lavrentiya,65.5833,-171.0,-18.63,93,13,2.21,RU,2022-02-14 01:40:41
208,Saint Anthony,45.0205,-93.218,8.15,78,100,9.22,US,2022-02-14 01:40:41
209,Saint George,37.1041,-113.5841,64.99,16,0,0.0,US,2022-02-14 01:40:42
210,Jardim,-21.4803,-56.1381,82.13,43,75,3.38,BR,2022-02-14 01:40:42
211,Suez,29.9737,32.5263,52.02,83,38,9.51,EG,2022-02-14 01:40:43
212,Port Blair,11.6667,92.75,69.84,88,20,2.3,IN,2022-02-14 01:38:23
213,Legnica,51.2101,16.1619,40.46,66,20,12.44,PL,2022-02-14 01:40:43
214,Shetpe,44.1667,52.1167,27.75,75,4,5.82,KZ,2022-02-14 01:40:44
215,Ternate,0.8,127.4,81.66,73,100,1.99,ID,2022-02-14 01:40:44
216,Bubaque,11.2833,-15.8333,77.99,62,0,4.27,GW,2022-02-14 01:40:45
217,Geraldton,-28.7667,114.6,81.01,69,0,4.61,AU,2022-02-14 01:40:45
218,Pangai,-19.8,-174.35,86.11,66,20,12.66,TO,2022-02-14 01:40:46
219,Pitimbu,-7.4706,-34.8086,81.19,74,4,9.42,BR,2022-02-14 01:40:46
220,Cabra,37.4725,-4.4421,54.14,82,90,5.06,ES,2022-02-14 01:40:47
221,Manacapuru,-3.2997,-60.6206,77.58,90,100,4.27,BR,2022-02-14 01:40:47
222,Siemiatycze,52.4272,22.8623,27.25,70,3,10.65,PL,2022-02-14 01:40:48
223,Dingle,10.9995,122.6711,83.37,70,100,10.18,PH,2022-02-14 01:40:48
224,Port Hueneme,34.1478,-119.1951,79.77,37,0,9.22,US,2022-02-14 01:40:49
225,Turukhansk,65.8167,87.9833,-7.33,88,36,12.08,RU,2022-02-14 01:36:45
226,Tura,25.5198,90.2201,59.94,63,0,3.27,IN,2022-02-14 01:41:49
227,Lagoa,39.05,-27.9833,56.64,60,100,5.06,PT,2022-02-14 01:41:50
228,Natal,-5.795,-35.2094,82.62,78,40,9.22,BR,2022-02-14 01:41:50
229,Bulungu,-4.55,18.6,69.96,95,100,2.3,CD,2022-02-14 01:41:51
230,Chumikan,54.7183,135.315,1.36,77,83,4.79,RU,2022-02-14 01:41:51
231,Nueva Germania,-23.9,-56.5667,76.26,60,32,3.69,PY,2022-02-14 01:41:52
232,Verkhoyansk,67.5447,133.385,-15.36,87,96,1.43,RU,2022-02-14 01:41:52
233,Carinhanha,-14.3047,-43.765,70.59,86,87,3.29,BR,2022-02-14 01:41:53
234,Puerto Ayacucho,5.6639,-67.6236,81.75,50,77,2.86,VE,2022-02-14 01:41:53
235,Bang Saphan,11.2126,99.5117,82.35,81,91,1.66,TH,2022-02-14 01:41:54
236,Datong,40.0936,113.2914,6.62,66,40,1.7,CN,2022-02-14 01:41:54
237,Nanortalik,60.1432,-45.2371,20.71,94,100,27.2,GL,2022-02-14 01:41:55
238,Merrill,45.1805,-89.6835,8.37,59,40,0.0,US,2022-02-14 01:40:06
239,Waipawa,-41.4122,175.5153,61.45,69,100,13.24,NZ,2022-02-14 01:41:55
240,Broken Hill,-31.95,141.4333,92.91,18,40,11.5,AU,2022-02-14 01:38:32
241,Bahia Blanca,-38.7196,-62.2724,73.83,27,0,12.15,AR,2022-02-14 01:41:56
242,Sao Domingos,-13.3983,-46.3183,70.09,91,98,2.04,BR,2022-02-14 01:41:57
243,Lata,40.1629,-8.3327,53.82,94,33,3.0,PT,2022-02-14 01:41:58
244,Jacareacanga,-6.2222,-57.7528,73.96,98,100,2.06,BR,2022-02-14 01:41:58
245,Clyde River,70.4692,-68.5914,-14.57,70,100,23.02,CA,2022-02-14 01:41:06
246,Norrtalje,59.758,18.705,38.07,91,100,9.19,SE,2022-02-14 01:41:59
247,Agirish,61.9247,63.0231,-13.56,100,96,0.63,RU,2022-02-14 01:41:59
248,Owando,-0.4819,15.8999,70.88,94,61,3.09,CG,2022-02-14 01:42:00
249,Tiznit,29.5833,-9.5,52.41,50,0,3.51,MA,2022-02-14 01:42:00
250,Kununurra,-15.7667,128.7333,75.18,88,36,10.36,AU,2022-02-14 01:38:27
251,Asau,46.4333,26.4,28.96,80,97,3.96,RO,2022-02-14 01:42:01
252,Touros,-5.1989,-35.4608,81.5,75,5,13.02,BR,2022-02-14 01:42:01
253,Zhigansk,66.7697,123.3711,-32.57,98,56,1.77,RU,2022-02-14 01:38:51
254,Davenda,53.5556,119.317,-1.32,87,100,3.0,RU,2022-02-14 01:42:02
255,Najran,17.4924,44.1277,48.85,51,23,1.88,SA,2022-02-14 01:42:02
256,Eyl,7.9803,49.8164,71.74,73,57,11.77,SO,2022-02-14 01:42:03
257,Muros,42.7762,-9.0603,53.24,94,9,18.03,ES,2022-02-14 01:42:03
258,Dombarovskiy,50.7587,59.5386,7.2,96,47,10.47,RU,2022-02-14 01:42:04
259,Pierre,44.3683,-100.351,43.86,45,0,13.8,US,2022-02-14 01:42:04
260,Kiruna,67.8557,20.2251,0.52,85,5,6.91,SE,2022-02-14 01:42:05
261,Sembe,1.6481,14.5806,69.58,81,100,2.66,CG,2022-02-14 01:42:06
262,Cidreira,-30.1811,-50.2056,68.77,88,24,2.75,BR,2022-02-14 01:42:06
263,Belmonte,-15.8631,-38.8828,77.5,88,91,6.29,BR,2022-02-14 01:42:07
264,Forest Grove,45.5198,-123.1107,57.25,64,0,3.0,US,2022-02-14 01:42:07
265,Montemorelos,25.2,-99.8167,52.12,39,100,4.9,MX,2022-02-14 01:42:08
266,Tautira,-17.7333,-149.15,87.82,77,75,17.47,PF,2022-02-14 01:42:08
267,Dudinka,69.4058,86.1778,-16.85,91,16,6.6,RU,2022-02-14 01:42:08
268,Sabang,5.8933,95.3214,82.26,72,36,10.96,ID,2022-02-14 01:40:45
269,Lodwar,3.1191,35.5973,80.17,43,7,4.47,KE,2022-02-14 01:42:09
270,Pozo Colorado,-23.4923,-58.7972,75.31,60,3,4.83,PY,2022-02-14 01:42:10
271,Tombouctou,20.0,-3.0,58.26,26,50,11.92,ML,2022-02-14 01:42:10
272,Shimoda,34.6667,138.95,44.96,66,100,17.65,JP,2022-02-14 01:43:11
273,Pevek,69.7008,170.3133,-15.95,97,100,8.41,RU,2022-02-14 01:43:11
274,Cherskiy,68.75,161.3,-21.87,97,95,6.29,RU,2022-02-14 01:41:24
275,Bowen,-20.0167,148.2333,82.62,63,13,21.52,AU,2022-02-14 01:43:12
276,Lompoc,34.6391,-120.4579,73.08,79,0,6.91,US,2022-02-14 01:39:24
277,Pacific Grove,36.6177,-121.9166,71.8,83,100,5.75,US,2022-02-14 01:43:13
278,Yaan,7.3833,8.5667,78.73,14,97,3.83,NG,2022-02-14 01:43:13
279,Xiaoweizhai,26.1903,107.5125,44.62,77,74,3.4,CN,2022-02-14 01:43:14
280,Nagorsk,59.3172,50.8078,0.12,100,99,2.71,RU,2022-02-14 01:43:14
281,Berlevag,70.8578,29.0864,20.75,90,100,7.29,NO,2022-02-14 01:43:15
282,Teguldet,57.3064,88.1667,0.68,96,100,10.09,RU,2022-02-14 01:43:15
283,Kavaratti,10.5669,72.642,80.6,71,0,7.05,IN,2022-02-14 01:43:16
284,Khuzhir,53.1939,107.3397,-3.46,94,58,13.13,RU,2022-02-14 01:43:16
285,Wanning,18.8003,110.3967,68.36,89,100,10.56,CN,2022-02-14 01:43:17
286,Mersing,2.4312,103.8405,78.71,94,40,2.3,MY,2022-02-14 01:43:17
287,Pisco,-13.7,-76.2167,69.85,73,0,16.11,PE,2022-02-14 01:40:55
288,Homer,59.6425,-151.5483,37.8,77,0,11.5,US,2022-02-14 01:43:18
289,Karratha,-20.7377,116.8463,95.85,38,60,9.01,AU,2022-02-14 01:38:34
290,Amga,60.8953,131.9608,-8.3,91,100,1.48,RU,2022-02-14 01:43:18
291,Shubarshi,48.5872,57.1869,15.91,93,100,16.51,KZ,2022-02-14 01:43:19
292,Gidam,18.9833,81.4,58.59,32,5,2.64,IN,2022-02-14 01:43:19
293,Tyumentsevo,53.3224,81.498,10.87,91,82,10.29,RU,2022-02-14 01:43:20
294,Burns Lake,54.2331,-125.7533,35.02,98,100,2.3,CA,2022-02-14 01:40:04
295,Guane,22.2025,-84.0875,71.71,74,99,10.4,CU,2022-02-14 01:43:21
296,Grindavik,63.8424,-22.4338,30.15,80,75,12.66,IS,2022-02-14 01:43:22
297,Nuevo Laredo,27.4763,-99.5164,59.27,21,0,0.0,MX,2022-02-14 01:43:22
298,Palma Del Rio,37.7002,-5.2812,55.38,94,96,5.79,ES,2022-02-14 01:43:22
299,Ovalle,-30.5983,-71.2003,69.49,62,0,3.58,CL,2022-02-14 01:43:23
300,Bandarbeyla,9.4942,50.8122,73.44,74,100,12.55,SO,2022-02-14 01:43:23
301,Pinheiro,-2.5214,-45.0825,73.31,97,100,2.21,BR,2022-02-14 01:43:24
302,Taltal,-25.4,-70.4833,68.4,77,3,3.69,CL,2022-02-14 01:43:24
303,Penzance,50.1186,-5.5371,47.77,75,27,17.45,GB,2022-02-14 01:43:25
304,Joshimath,30.5667,79.5667,38.55,38,0,8.84,IN,2022-02-14 01:43:25
305,Erenhot,43.6475,111.9767,-4.94,86,10,2.01,CN,2022-02-14 01:43:26
306,Sur,22.5667,59.5289,70.18,72,0,14.63,OM,2022-02-14 01:43:26
307,Daru,-9.0763,143.2092,85.24,62,71,10.29,PG,2022-02-14 01:43:27
308,Slobodskoy,58.7322,50.1772,-0.42,100,88,3.33,RU,2022-02-14 01:43:27
309,Awjilah,29.1081,21.2869,52.23,61,0,5.32,LY,2022-02-14 01:43:28
310,Vila Franca Do Campo,37.7167,-25.4333,58.19,70,100,4.09,PT,2022-02-14 01:41:28
311,Nouakchott,18.0858,-15.9785,67.93,44,98,10.0,MR,2022-02-14 01:39:49
312,Jalu,29.0331,21.5482,52.29,60,0,5.86,LY,2022-02-14 01:43:29
313,Akhmeta,42.0311,45.2075,36.12,98,100,4.92,GE,2022-02-14 01:43:29
314,Saldanha,-33.0117,17.9442,64.45,90,0,14.07,ZA,2022-02-14 01:43:30
315,Yashkul,46.1711,45.3435,31.44,61,0,6.64,RU,2022-02-14 01:43:30
316,Ucar,40.519,47.6542,39.38,74,98,4.61,AZ,2022-02-14 01:44:31
317,Kerema,-7.9631,145.7785,83.32,70,97,6.71,PG,2022-02-14 01:44:31
318,Narsaq,60.9167,-46.05,19.62,96,100,7.07,GL,2022-02-14 01:44:32
319,Tilichiki,60.4667,166.1,-11.52,90,32,10.27,RU,2022-02-14 01:44:32
320,Fengzhen,40.4394,113.1536,3.02,66,60,1.81,CN,2022-02-14 01:44:33
321,Santa Maria Del Oro,25.9333,-105.3667,48.15,30,100,4.65,MX,2022-02-14 01:44:33
322,Port Shepstone,-30.7414,30.455,75.02,86,96,19.39,ZA,2022-02-14 01:44:34
323,Villa Corzo,16.1667,-93.25,65.19,75,99,13.6,MX,2022-02-14 01:44:34
324,Zabid,14.1951,43.3152,74.28,80,15,2.93,YE,2022-02-14 01:44:35
325,Brownwood,31.7093,-98.9912,55.17,37,20,3.44,US,2022-02-14 01:44:35
326,Ekuvukeni,-28.4675,30.1551,64.24,97,48,1.23,ZA,2022-02-14 01:44:36
327,Sigli,5.3848,95.9609,81.16,71,95,2.64,ID,2022-02-14 01:44:36
328,Kampong Chhnang,12.1667,104.55,84.42,62,96,6.02,KH,2022-02-14 01:44:37
329,Hof,50.3167,11.9167,38.43,64,53,5.75,DE,2022-02-14 01:44:37
330,Baghdad,33.3406,44.4009,46.31,61,0,6.91,IQ,2022-02-14 01:40:42
331,Goundam,16.4145,-3.6708,63.03,22,27,9.89,ML,2022-02-14 01:44:38
332,Nichinan,31.6,131.3667,52.07,78,100,13.06,JP,2022-02-14 01:44:38
333,Simbahan,6.3032,120.5836,80.82,75,99,5.06,PH,2022-02-14 01:44:39
334,Mattru,7.6244,-11.8332,74.01,97,14,2.28,SL,2022-02-14 01:44:39
335,Payo,-3.7508,103.6372,81.0,75,87,0.67,ID,2022-02-14 01:44:40
336,Hauterive,46.0901,3.4459,51.58,66,99,16.31,FR,2022-02-14 01:44:40
337,Gravdal,68.1214,13.5031,32.76,61,94,20.02,NO,2022-02-14 01:44:41
338,Takoradi,4.8845,-1.7554,78.44,86,100,7.38,GH,2022-02-14 01:44:41
339,Tabou,4.423,-7.3528,76.86,88,91,4.05,CI,2022-02-14 01:44:42
340,Miercurea-Ciuc,46.35,25.8,26.08,93,95,1.05,RO,2022-02-14 01:44:42
341,Namatanai,-3.6667,152.4333,85.1,69,84,6.29,PG,2022-02-14 01:44:42
342,Marsh Harbour,26.5412,-77.0636,72.66,89,100,19.17,BS,2022-02-14 01:44:43
343,La Peca,-5.6111,-78.435,69.15,85,87,4.54,PE,2022-02-14 01:44:43
344,Kirakira,-10.4544,161.9205,80.04,84,100,4.09,SB,2022-02-14 01:44:44
345,Mareeba,-17.0,145.4333,83.48,67,56,7.74,AU,2022-02-14 01:44:45
346,Meulaboh,4.1363,96.1285,79.2,81,96,4.14,ID,2022-02-14 01:44:45
347,Urumqi,43.801,87.6005,7.75,85,0,2.24,CN,2022-02-14 01:42:02
348,Bereda,43.2686,-7.5406,46.92,100,91,6.62,ES,2022-02-14 01:44:46
349,Nanlong,31.3533,106.0631,49.32,68,83,4.21,CN,2022-02-14 01:44:46
350,Olafsvik,64.8945,-23.7142,32.45,72,100,12.53,IS,2022-02-14 01:44:47
351,Biltine,14.5333,20.9167,72.34,12,100,14.9,TD,2022-02-14 01:44:47
352,Nyurba,63.2842,118.3319,-13.76,99,100,0.89,RU,2022-02-14 01:44:48
353,Pervomayskiy,53.2485,40.2871,15.13,91,62,8.12,RU,2022-02-14 01:44:48
354,Ixtapa,20.7,-105.2,75.22,78,95,1.01,MX,2022-02-14 01:44:48
355,Poum,-20.2333,164.0167,82.89,76,99,11.14,NC,2022-02-14 01:44:49
356,Saint-Leu,-21.15,55.2833,77.86,78,4,1.3,RE,2022-02-14 01:44:49
357,Batemans Bay,-35.7167,150.1833,89.2,41,99,10.36,AU,2022-02-14 01:44:50
358,Krasnokamensk,50.0979,118.0369,-11.87,94,57,3.13,RU,2022-02-14 01:44:51
359,Rocha,-34.4833,-54.3333,58.21,62,50,6.67,UY,2022-02-14 01:44:51
360,Sao Felix Do Xingu,-6.6447,-51.995,70.38,90,100,1.45,BR,2022-02-14 01:44:51
361,Arraial Do Cabo,-22.9661,-42.0278,75.43,92,16,15.43,BR,2022-02-14 01:44:52
362,Gat,31.61,34.7642,52.48,100,99,7.43,IL,2022-02-14 01:44:52
363,Necochea,-38.5473,-58.7368,60.04,52,0,6.24,AR,2022-02-14 01:45:53
364,Gorom-Gorom,14.4439,-0.2361,70.63,13,0,11.12,BF,2022-02-14 01:45:54
365,Arroyo,41.6096,-4.7969,41.59,86,0,11.5,ES,2022-02-14 01:45:54
366,Broome,42.2506,-75.833,16.02,73,0,6.91,US,2022-02-14 01:43:56
367,Elk Grove,38.4088,-121.3716,75.65,43,0,5.75,US,2022-02-14 01:41:15
368,Alcudia,39.8532,3.1214,56.25,86,16,14.92,ES,2022-02-14 01:45:55
369,Lugovoy,42.9472,72.7644,30.49,72,100,4.76,KZ,2022-02-14 01:45:55
370,Nanuet,41.0887,-74.0135,29.32,68,58,3.0,US,2022-02-14 01:41:50
371,Puerto Baquerizo Moreno,-0.9,-89.6,75.47,85,53,5.19,EC,2022-02-14 01:45:56
372,Honiara,-9.4333,159.95,82.42,82,97,7.36,SB,2022-02-14 01:45:57
373,Buraydah,26.326,43.975,43.25,32,0,4.94,SA,2022-02-14 01:45:57
374,Muravlenko,63.7898,74.523,-17.45,100,99,8.46,RU,2022-02-14 01:45:58
375,Cap-Aux-Meules,47.3821,-61.8597,15.82,67,75,13.8,CA,2022-02-14 01:45:58
376,Guerrero Negro,27.9769,-114.0611,69.04,38,6,9.66,MX,2022-02-14 01:45:58
377,Monrovia,6.3005,-10.7969,78.44,87,8,5.95,LR,2022-02-14 01:45:59
378,Ayios Vasilios,37.8,22.8,44.82,78,8,1.54,GR,2022-02-14 01:46:00
379,Port Augusta,-32.5,137.7667,99.72,26,100,4.81,AU,2022-02-14 01:46:00
380,Usinsk,65.9939,57.5281,3.0,98,89,8.7,RU,2022-02-14 01:46:01
381,Marzuq,14.4,46.4667,53.22,52,51,3.06,YE,2022-02-14 01:46:01
382,Black Diamond,47.3087,-122.0032,53.49,61,100,1.01,US,2022-02-14 01:46:02
383,Santa Rosa,14.3122,121.1114,81.86,74,30,8.16,PH,2022-02-14 01:43:08
384,Ghatampur,26.1667,80.1667,52.79,62,0,2.15,IN,2022-02-14 01:46:02
385,Sisimiut,66.9395,-53.6735,-0.33,95,100,17.36,GL,2022-02-14 01:46:03
386,Safaga,26.7292,33.9365,58.95,50,0,16.08,EG,2022-02-14 01:46:03
387,Airai,-8.9266,125.4092,72.54,59,23,2.44,TL,2022-02-14 01:43:36
388,Fortuna,40.5982,-124.1573,62.47,94,100,0.0,US,2022-02-14 01:46:04
389,Faanui,-16.4833,-151.75,80.38,75,100,13.85,PF,2022-02-14 01:46:05
390,Moron,-34.6534,-58.6198,74.95,49,0,5.32,AR,2022-02-14 01:43:43
391,Linares,-35.85,-71.6,62.37,62,0,0.76,CL,2022-02-14 01:46:05
392,Guaruja,-23.9931,-46.2564,80.17,26,0,1.01,BR,2022-02-14 01:46:06
393,Adrar,20.5022,-10.0711,59.85,24,95,10.83,MR,2022-02-14 01:46:06
394,Lyngseidet,69.5763,20.2189,24.89,90,100,9.62,NO,2022-02-14 01:46:07
395,Santa Isabel Do Rio Negro,-0.4139,-65.0192,73.42,96,88,1.52,BR,2022-02-14 01:46:07
396,Yulara,-25.2406,130.9889,91.24,13,2,12.66,AU,2022-02-14 01:46:08
397,Evanston,42.0411,-87.6901,15.48,56,94,1.01,US,2022-02-14 01:45:02
398,Namibe,-15.1961,12.1522,73.69,84,100,1.68,AO,2022-02-14 01:42:27
399,Gejiu,23.306,103.1635,44.78,78,47,4.52,CN,2022-02-14 01:46:09
400,Urucara,-2.5364,-57.76,74.07,96,100,2.24,BR,2022-02-14 01:46:09
401,Polyarnyy,69.1989,33.4478,21.67,93,100,16.69,RU,2022-02-14 01:46:10
402,Angoche,-16.2325,39.9086,76.08,92,95,5.17,MZ,2022-02-14 01:46:10
403,Kruisfontein,-34.0033,24.7314,65.88,92,100,11.9,ZA,2022-02-14 01:46:11
404,Roald,62.5833,6.1333,37.33,87,100,28.77,NO,2022-02-14 01:46:11
405,Kholtoson,50.2981,103.3097,-6.59,92,100,0.47,RU,2022-02-14 01:46:12
406,Bouar,5.934,15.596,67.96,19,100,5.68,CF,2022-02-14 01:46:13
407,Saint-Pierre,-21.3393,55.4781,78.48,73,0,3.44,RE,2022-02-14 01:46:13
408,Moncada,39.5456,-0.3955,60.08,70,75,13.0,ES,2022-02-14 01:46:13
409,Los Zacatones,22.95,-102.05,56.64,56,81,16.98,MX,2022-02-14 01:46:14
410,Jumla,29.2747,82.1838,31.51,62,0,6.2,NP,2022-02-14 01:46:14
